seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_tau7,seg0_likelihood
0.639347068364601423E+00,0.279142386435503420E+01,0.162663749093847243E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.149263376743256154E+00,0.999622657082890109E+00,0.549677606909744281E+05,0.552195841430166838E+05,0.554722771606620299E+05,0.555976293496899671E+05,0.558500047740912487E+05,0.559752827738480191E+05,0.562273061648892835E+05,0.563529535687293392E+05,0.507597947171075248E+04
0.548912146215672081E+00,0.167116283981888927E+02,0.151008072698851059E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.931089533615882092E+00,0.919410962900144457E+00,0.549676943983093734E+05,0.552196777465743071E+05,0.554714003835511612E+05,0.555975494372947142E+05,0.558503530481173293E+05,0.559751072471536536E+05,0.562271404021690832E+05,0.563531082215992792E+05,0.507609171180476369E+04
0.163066146623705721E-01,0.250527400976191473E+03,0.125984295018850140E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.369259740123494773E+00,0.279271194446513327E+00,0.549678071096933272E+05,0.552197479595708646E+05,0.554714327495549005E+05,0.555975490309701854E+05,0.558502554271234621E+05,0.559753244955721020E+05,0.562281015052192815E+05,0.563531020992528211E+05,0.507611953474288475E+04
0.179698406084728077E-01,0.541771752523658392E+03,0.341974463239470727E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.777023466056534162E+00,0.624062538511010345E+00,0.549676385867866265E+05,0.552195186187649888E+05,0.554719981459846967E+05,0.555974474152843031E+05,0.558495421159461112E+05,0.559752467645339857E+05,0.562272722220334908E+05,0.563530852907754743E+05,0.507612061889813231E+04
0.220950483442374189E-01,0.143419840895862080E+03,0.875985232532768388E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.975507265874397844E+00,0.248955725501909003E+00,0.549677287835930474E+05,0.552196978015938876E+05,0.554722067612862520E+05,0.555975548207012107E+05,0.558502189157925895E+05,0.559755889012969419E+05,0.562272030141222276E+05,0.563530750046508256E+05,0.507616228542292265E+04
0.526418825000568358E+00,0.413285547993587077E+01,0.150190418581420970E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.898971140197856511E+00,0.555797350785260935E+00,0.549676203072915741E+05,0.552195673633191764E+05,0.554715675021860952E+05,0.555976227519811873E+05,0.558500713583855177E+05,0.559754242536831516E+05,0.562272333267548747E+05,0.563523562082084682E+05,0.507621251420208682E+04
0.784615890692426321E+00,0.151494335987756590E+01,0.177427949568543353E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.111580164345665381E+00,0.540979838370804655E+00,0.549677470243973003E+05,0.552196916607472376E+05,0.554719353836300725E+05,0.555975775993476709E+05,0.558487772869142136E+05,0.559756961772533832E+05,0.562272690055898202E+05,0.563530697022747845E+05,0.507631309183932717E+04
0.642182540318230854E+00,0.177359668177282153E+02,0.161416745432416731E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.979552705211232277E+00,0.491849039244829755E+00,0.549676666411143306E+05,0.552197049576016871E+05,0.554714544321205976E+05,0.555976156810578323E+05,0.558495622308653474E+05,0.559754667492136796E+05,0.562272923517194649E+05,0.563524070340011531E+05,0.507637590675118645E+04
0.421114797620499581E+00,0.139936312611218128E+01,0.140816057822139906E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.211475824820887254E+00,0.621006302009951439E+00,0.549676380697428758E+05,0.552195989795718997E+05,0.554717704890787572E+05,0.555977902245279547E+05,0.558501602016148099E+05,0.559753727359123150E+05,0.562273160458859493E+05,0.563530997203504085E+05,0.507648509761319019E+04
0.220236440985056847E+00,0.281557747479753084E+01,0.119609618393078354E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.535650005434736842E+00,0.837644127789679116E+00,0.549677560760621200E+05,0.552196556336217473E+05,0.554721326765016638E+05,0.555976168290148125E+05,0.558494357346582474E+05,0.559754124682376787E+05,0.562274247631382968E+05,0.563531421541219970E+05,0.507650053195649616E+04
0.583848131642153212E+00,0.162867539382142223E+01,0.157268835574359001E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.310800650435528014E+00,0.318380109466579533E-01,0.549676496231665296E+05,0.552195605733010452E+05,0.554705380651181404E+05,0.555976823880102966E+05,0.558498720255278022E+05,0.559754497440777777E+05,0.562272556367015059E+05,0.563530380897032737E+05,0.507659074598898042E+04
0.175796982988608852E-01,0.136401571707865372E+03,0.688747871214192453E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.993819250965368828E+00,0.576630347389466835E+00,0.549677363021149358E+05,0.552197215881341763E+05,0.554722506639156054E+05,0.555976186567811164E+05,0.558497553549327786E+05,0.559756298920191475E+05,0.562273041081498232E+05,0.563530756298845008E+05,0.507659900580438352E+04
0.249735642236744687E+00,0.186427888373217687E+01,0.122893634841392174E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.616861460858931454E+00,0.755361234801285142E+00,0.549676714958069206E+05,0.552197681666355493E+05,0.554715522740999659E+05,0.555976342905199417E+05,0.558495176988879248E+05,0.559754666342505079E+05,0.562272042834723034E+05,0.563531963027631209E+05,0.507662537781067840E+04
0.949529305859556416E+00,0.522248729041032700E+01,0.193829264535299761E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.109512179955398858E+00,0.578005572630514219E+00,0.549676493268505365E+05,0.552197037825285297E+05,0.554720463991283177E+05,0.555975738194115547E+05,0.558487813464487408E+05,0.559749262683163688E+05,0.562271974479568889E+05,0.563530428531521902E+05,0.507670281979487572E+04
0.991835023414278094E+00,0.706771944006109543E+01,0.196434156219883338E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.941141758176333831E+00,0.725647574446438015E+00,0.549676572035971185E+05,0.552197334076981788E+05,0.554719863567239081E+05,0.555976873170294130E+05,0.558496503917565860E+05,0.559753604894862947E+05,0.562272429205397275E+05,0.563536666674934095E+05,0.507674860719556636E+04
0.312721917158858220E+00,0.212608647199759826E+01,0.128429523128972067E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.903795759231765805E+00,0.708690630954177281E+00,0.549677280268837931E+05,0.552197697322631575E+05,0.554719656133646859E+05,0.555975135913792546E+05,0.558497896888441537E+05,0.559754917972510884E+05,0.562273407114932270E+05,0.563531492556533340E+05,0.507676023942898519E+04
0.179470111750419554E-01,0.677731383745723747E+03,0.132603107625087424E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.502057712007768386E+00,0.951491811888191985E+00,0.549677149977849258E+05,0.552196101389350661E+05,0.554713336624706208E+05,0.555977110630169554E+05,0.558497326704908555E+05,0.559753453294082647E+05,0.562272612208575592E+05,0.563530114066859387E+05,0.507684228664089278E+04
0.178590823267065490E-01,0.105110023705715571E+04,0.235855328122192232E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.206470072666253751E+00,0.495326111483648690E+00,0.549677101350932862E+05,0.552197315410635565E+05,0.554720860931890420E+05,0.555977099089562907E+05,0.558495882132561164E+05,0.559750978755799733E+05,0.562272602812774057E+05,0.563530730518140554E+05,0.507715162725402934E+04
0.619920333739630736E+00,0.226142782546299586E+02,0.159093962076875184E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.832266468889953703E+00,0.640727058419924500E+00,0.549676060893351605E+05,0.552194478046471777E+05,0.554721687886828950E+05,0.555976078584489660E+05,0.558503616414756834E+05,0.559754487764974619E+05,0.562272012671356715E+05,0.563531010037974920E+05,0.507717596868543478E+04
0.780316611232921287E+00,0.130487765909870967E+01,0.176677124371946137E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.300767928962268949E+00,0.440242555059586538E+00,0.549677316757351291E+05,0.552195990445156203E+05,0.554714904493806680E+05,0.555975156650397475E+05,0.558500874499043275E+05,0.559752853748971829E+05,0.562271297646944731E+05,0.563531466949498135E+05,0.507724389179855643E+04
0.191677152302776016E+00,0.136316863049880208E+02,0.115498330059643228E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.882124959400753084E+00,0.849616930180685404E+00,0.549675990791280055E+05,0.552196910217113764E+05,0.554721184271020538E+05,0.555975576249631995E+05,0.558503470219196097E+05,0.559757673428646158E+05,0.562272454548988826E+05,0.563530054288349056E+05,0.507726229359354784E+04
0.316684893365456688E+00,0.290213921049356616E+01,0.128680271586691752E+01,0.125957819999999998E+03,0.557234140199999965E+05,0.890287418371410788E+00,0.388038001700294732E+00,0.549677947191875646E+05,0.552195804388892720E+05,0.554721047767219861E+05,0.555976500225622876E+05,0.558496449625417808E+05,0.559753445084652776E+05,0.562273271402871833E+05,0.563529496536438965E+05,0.507726243089840773E+04
0.538715523930601986E-01,0.423293342936444095E+01,0.999861772535753923E+00,0.125957819999999998E+03,0.557234140199999965E+05,0.869115078469631208E+00,0.814227845069723011E+00,0.549676109565125807E+05,0.552197511419480143E+05,0.554720658385539500E+05,0.555977353058014560E+05,0.558501324994582174E+05,0.559753927252771755E+05,0.562271684612738245E+05,0.563531033467107554E+05,0.507726477627426448E+04
