seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_tau6,seg0_likelihood
0.323592662203281006E-01,0.109941391306433296E+02,0.997747927996385009E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.166617870658009315E+00,0.766849169011260101E+00,0.550241763819369371E+05,0.551769310717162007E+05,0.553302330536109293E+05,0.557903129374509663E+05,0.559436194045636003E+05,0.560970298953239253E+05,0.564037389154543416E+05,0.499423599236688187E+04
0.283952562296351352E+00,0.724877685979930941E+01,0.126404577021028897E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.442007378428356634E+00,0.217615168023691047E+00,0.550241539132489488E+05,0.551768848434523752E+05,0.553302229614759563E+05,0.557902281543056961E+05,0.559434577427373733E+05,0.560969310818473896E+05,0.564035952272419527E+05,0.499440441759182067E+04
0.481921348805692429E+00,0.528459257744430477E+01,0.144932631436323334E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.981689496501230274E+00,0.629686600543808872E+00,0.550229411122229503E+05,0.551769037505013912E+05,0.553301912358746558E+05,0.557902644508280500E+05,0.559436236153282880E+05,0.560969322073213480E+05,0.564036008014321778E+05,0.499440604302824613E+04
0.204792225245675821E-01,0.254121295730291621E+03,0.835070518713209364E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.659155266661680006E+00,0.324542448786495283E-01,0.550234443725659148E+05,0.551768646980696140E+05,0.553303190751406728E+05,0.557903029237361552E+05,0.559436544354381913E+05,0.560970105708879637E+05,0.564035644166938437E+05,0.499444931904949408E+04
0.161852820934852391E-01,0.557920751929599874E+03,0.166908073288860231E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.433149425466969051E+00,0.875346645515060917E+00,0.550225278028598404E+05,0.551769060477846724E+05,0.553301560423801129E+05,0.557901291836205564E+05,0.559435003550882684E+05,0.560969711972331570E+05,0.564037527886473035E+05,0.499448203222172378E+04
0.390001059887066404E+00,0.707428645933070044E+01,0.136808121011501660E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.417292975889454687E+00,0.884173663396083498E+00,0.550241956778018430E+05,0.551768383722992949E+05,0.553302401055218288E+05,0.557901125382665778E+05,0.559434584302286239E+05,0.560969552071958751E+05,0.564035806523175779E+05,0.499456457655685244E+04
0.902038382880090528E+00,0.448131509950410933E+01,0.188264271343461664E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.684901552517009460E+00,0.172177186455297337E+00,0.550234357191189047E+05,0.551767877991107089E+05,0.553301808273426577E+05,0.557901356962212594E+05,0.559434368967680421E+05,0.560969746291209012E+05,0.564036176260450520E+05,0.499465637047131713E+04
0.577284878666540213E+00,0.112271644939037856E+02,0.155096945193508384E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.824364680147186335E+00,0.290011328361724940E+00,0.550236445317873658E+05,0.551768205174624163E+05,0.553301080913864498E+05,0.557902539489366172E+05,0.559435756009673205E+05,0.560969890368390043E+05,0.564035675901262584E+05,0.499469557545602675E+04
0.174602002630521828E-01,0.694961474906826083E+03,0.348926700789071675E+00,0.153356672000000003E+03,0.556368870880000031E+05,0.535051951980599294E+00,0.225332870446012037E-01,0.550227804193576449E+05,0.551769198818461518E+05,0.553302333455740591E+05,0.557903311503709701E+05,0.559435393853798014E+05,0.560969365746840922E+05,0.564037665989371599E+05,0.499474033521112779E+04
0.981310105234444841E+00,0.363755070492067878E+01,0.197167153266984307E+01,0.153356672000000003E+03,0.556368870880000031E+05,0.499551933182667326E-02,0.991350352263445367E+00,0.550228352720682815E+05,0.551768344281904792E+05,0.553302884818640014E+05,0.557902186937534861E+05,0.559435370434579454E+05,0.560970009358826210E+05,0.564037370984568479E+05,0.499478051900356786E+04
