seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_likelihood
0.124445866859075379E-01,0.950362861794729596E+01,0.417357955486024834E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.259339936414709815E+00,0.463017192729265337E-01,0.553818552160527252E+05,0.453094931784286746E+04
0.120038324796422364E-01,0.220598492010827698E+02,0.125263796931105020E-01,0.289882299999999987E+03,0.553814018999999971E+05,0.974790964456424103E+00,0.461353631828722799E+00,0.553817752703501756E+05,0.453099480978097472E+04
0.154952752690495910E-01,0.321135808231312083E+02,0.544421733030442723E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.879939371959906902E-01,0.393477029031556458E+00,0.553817456209391821E+05,0.453102140346370925E+04
0.130333248981315958E-01,0.133843379829664699E+01,0.869985308746561437E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.172147764142139614E+00,0.672794883194379190E+00,0.553819434975174299E+05,0.453104518075977103E+04
0.111972366009619531E-01,0.813040113759056027E+01,0.335120960375458965E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.101306678898525099E+00,0.672176947024002991E+00,0.553820546077933104E+05,0.453105068052839943E+04
0.120039295283293213E-01,0.918727618360133746E+01,0.453387500779405817E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.645801582659618845E+00,0.752968092811039269E+00,0.553819360445840139E+05,0.453106515242257592E+04
0.118096591731216734E-01,0.236951791956193709E+02,0.223216786672539996E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.160508487604607286E+00,0.776300629796735753E+00,0.553815916621227880E+05,0.453106932861727182E+04
0.111205567851891621E-01,0.258408167755355436E+02,0.393195286146924228E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.603732943007654010E+00,0.948328752212118653E+00,0.553815188973631666E+05,0.453107064622583039E+04
0.166912004240057088E-01,0.201768634351876059E+02,0.813392022257394265E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.878197173289195332E+00,0.502313962503281641E+00,0.553817040552190010E+05,0.453109960427305759E+04
0.110862254269054484E-01,0.560822144977549897E+01,0.634506632045706120E+00,0.289882299999999987E+03,0.553814018999999971E+05,0.188023121857457343E+00,0.190720111616738713E+00,0.553821587934955678E+05,0.453110449358627011E+04
