seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_likelihood
0.777549147605895996E-01,0.448659862760066928E+06,0.123755991458892822E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.694131433963775635E+00,0.254689395427703857E+00,0.558828125336192170E+05,0.563664775735841395E+05,0.175442179340950679E+04
0.524397850036621094E+00,0.135056229753494392E+02,0.172174680233001709E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.166202783584594727E+00,0.386605799198150635E+00,0.558834678055069962E+05,0.563673676989780070E+05,0.175442179340950679E+04
0.172248244285583496E+00,0.343098821009631734E+06,0.159552109241485596E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.221154391765594482E+00,0.946964621543884277E-01,0.558822699221394578E+05,0.563669233588681818E+05,0.175442179340950679E+04
0.860059618949890137E+00,0.155196643789270165E+06,0.193985056877136230E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.491090297698974609E+00,0.351341009140014648E+00,0.558833552459500352E+05,0.563674332011447550E+05,0.175442179340950679E+04
0.617575049400329590E-01,0.566429279758442954E+04,0.175876748561859131E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.186540186405181885E+00,0.322829544544219971E+00,0.558832830493472138E+05,0.563663069569574000E+05,0.175442179340950679E+04
0.475505471229553223E+00,0.573139695358221252E+04,0.391598582267761230E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.241798162460327148E+00,0.643663823604583740E+00,0.558840560379050294E+05,0.563669799860225321E+05,0.175442179340950679E+04
0.251280665397644043E-01,0.306158231121739191E+05,0.109961402416229248E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.925461053848266602E-01,0.547137677669525146E+00,0.558836727061293641E+05,0.563663087974296213E+05,0.175442179340950679E+04
0.827148854732513428E+00,0.222204577439747954E+06,0.190399301052093506E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.476095020771026611E+00,0.970128297805786133E+00,0.558832659525893250E+05,0.563670046067939402E+05,0.175442179340950679E+04
0.278837323188781738E+00,0.114089451690876399E+04,0.123500192165374756E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.590978085994720459E+00,0.401525497436523438E+00,0.558838986355088273E+05,0.563666009942994715E+05,0.175442179340950679E+04
0.710016548633575439E+00,0.351056208835731959E+06,0.171826386451721191E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.774910390377044678E+00,0.851769268512725830E+00,0.558825194062016526E+05,0.563658981097446085E+05,0.175442179340950679E+04
0.381541728973388672E+00,0.443472971653023649E+03,0.182683444023132324E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.652828991413116455E+00,0.820564627647399902E+00,0.558841041260979691E+05,0.563657566982017161E+05,0.175442179340950679E+04
0.187763154506683350E+00,0.129517167291396049E+04,0.146753144264221191E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.123347520828247070E+00,0.282704830169677734E-01,0.558835430179856339E+05,0.563663011049733759E+05,0.175442179340950679E+04
0.258936047554016113E+00,0.410111817376961608E+04,0.162545430660247803E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.253513097763061523E+00,0.188278317451477051E+00,0.558821781644843140E+05,0.563673010662303568E+05,0.175442179340950679E+04
0.505024194717407227E-02,0.571253069310674528E+04,0.385122656822204590E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.967752933502197266E-01,0.831317186355590820E+00,0.558838342196963349E+05,0.563671822562919260E+05,0.175442179340950679E+04
0.129805207252502441E-01,0.497770726129979195E+02,0.120067143440246582E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.774694085121154785E-01,0.251480996608734131E+00,0.558824832755349198E+05,0.563663269891248347E+05,0.175442179340950679E+04
0.710487246513366699E+00,0.139035598560616513E+02,0.179259347915649414E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.931942582130432129E+00,0.852360725402832031E-01,0.558834048333190003E+05,0.563664076554284693E+05,0.175442179340950679E+04
0.399023175239562988E+00,0.808173190208754095E+05,0.187826633453369141E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.954964339733123779E+00,0.722498774528503418E+00,0.558827541525385896E+05,0.563657954953418375E+05,0.175442179340950679E+04
0.796160936355590820E+00,0.919112965779463707E+03,0.192158818244934082E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.238101899623870850E+00,0.686170279979705811E+00,0.558837116791031876E+05,0.563661162778840662E+05,0.175442179340950679E+04
0.551759719848632812E+00,0.922766763847768307E+06,0.174232602119445801E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.804013192653656006E+00,0.141105949878692627E+00,0.558829884723446885E+05,0.563658368787274958E+05,0.175442179340950679E+04
0.560516357421875000E+00,0.164831669723605883E+06,0.929308176040649414E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.730890512466430664E+00,0.666453540325164795E+00,0.558840232020638505E+05,0.563666885191903712E+05,0.175442179340950679E+04
0.315321028232574463E+00,0.571276433433705592E+06,0.182029271125793457E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.479689240455627441E-01,0.214600324630737305E+00,0.558827415936015168E+05,0.563666837769256235E+05,0.175442179340950679E+04
0.227587223052978516E-01,0.338226651205222079E+05,0.960856556892395020E+00,0.241653652999999991E+03,0.561248147820000013E+05,0.170458674430847168E+00,0.167256236076354980E+00,0.558837411463282624E+05,0.563666361217008234E+05,0.175442179340950679E+04
0.283757388591766357E+00,0.453175280738803679E+02,0.161115157604217529E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.225296556949615479E+00,0.860354423522949219E+00,0.558835426708481828E+05,0.563666743851409556E+05,0.175442179340950679E+04
0.230569183826446533E+00,0.737914611950528069E+04,0.194156885147094727E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.562667846679687500E+00,0.160211920738220215E-01,0.558827581554673234E+05,0.563662409915433527E+05,0.175442179340950679E+04
0.818666815757751465E-01,0.369327715401881607E+06,0.153764533996582031E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.640310466289520264E+00,0.897380113601684570E-01,0.558839173731825867E+05,0.563672025415406824E+05,0.175442179340950679E+04
0.456974744796752930E+00,0.868248281392102828E+06,0.178404021263122559E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.210302770137786865E+00,0.465094447135925293E-01,0.558822795048974076E+05,0.563672448945747019E+05,0.175442179340950679E+04
0.408700108528137207E+00,0.246344861389967537E+04,0.185260009765625000E+01,0.241653652999999991E+03,0.561248147820000013E+05,0.730788052082061768E+00,0.951598286628723145E+00,0.558829832140229264E+05,0.563657328676686884E+05,0.175442179340950679E+04
