seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_likelihood
0.545098185539245605E-01,0.100344720326180492E+01,0.143894815444946289E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.749449670314788818E+00,0.630794525146484375E+00,0.550429097587747601E+05,0.552781310820034487E+05,0.557518827953525033E+05,0.287651566165886425E+04
0.195333182811737061E+00,0.214483651907810078E+02,0.199987566471099854E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.861139893531799316E+00,0.807474851608276367E-01,0.550425197710676221E+05,0.552786289457729799E+05,0.557508946576304879E+05,0.287651566165886425E+04
0.662847936153411865E+00,0.369031713057032729E+01,0.177868735790252686E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.611390829086303711E+00,0.315758347511291504E+00,0.550421080761833218E+05,0.552781830330542070E+05,0.557512462295480218E+05,0.287651566165886425E+04
0.301411211490631104E+00,0.520742409966788273E+04,0.136741542816162109E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.461851000785827637E+00,0.765373945236206055E+00,0.550437601548118619E+05,0.552789373840740664E+05,0.557516656767316308E+05,0.287651566165886425E+04
0.809245645999908447E+00,0.481499905987670047E+02,0.186582446098327637E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.288894176483154297E+00,0.780903041362762451E+00,0.550434655028266934E+05,0.552791414637020571E+05,0.557521877469010797E+05,0.287651566165886425E+04
0.234240829944610596E+00,0.718734834585581906E+06,0.161697351932525635E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.101991474628448486E+00,0.866612136363983154E+00,0.550434341278953580E+05,0.552795010183504564E+05,0.557514265451617684E+05,0.287651566165886425E+04
0.567745566368103027E-01,0.919023408297416324E+02,0.172071290016174316E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.170023798942565918E+00,0.536197721958160400E+00,0.550439920615835217E+05,0.552781901112249834E+05,0.557522214398570504E+05,0.287651566165886425E+04
0.173840522766113281E+00,0.647545954652293698E+01,0.126422917842864990E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.157525837421417236E+00,0.132522821426391602E+00,0.550437558680458096E+05,0.552800545740774614E+05,0.557504150890298333E+05,0.287651566165886425E+04
0.532541334629058838E+00,0.100476023751461332E+04,0.172307538986206055E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.127261400222778320E+00,0.833119451999664307E+00,0.550437552628202466E+05,0.552788043847731096E+05,0.557510497200675454E+05,0.287651566165886425E+04
0.333759307861328125E+00,0.190109725778924301E+06,0.199551630020141602E+01,0.236097997999999990E+03,0.552791024980000002E+05,0.314442813396453857E+00,0.266908347606658936E+00,0.550431020388288525E+05,0.552792721704891665E+05,0.557519573593326058E+05,0.287651566165886425E+04
