seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_likelihood
0.627738235747638429E+00,0.107473496512445910E+01,0.161381187591013386E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.587513876728128714E+00,0.881195496423003100E+00,0.550905261026416556E+05,0.553760222096210200E+05,0.559449410022411539E+05,0.562297537208689682E+05,0.382960815474202582E+04
0.149098061892775219E+00,0.144194706105748249E+01,0.113498465542804916E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.184746444573448770E+00,0.963377071903600557E+00,0.550906242048140339E+05,0.553761501806770830E+05,0.559449584690399643E+05,0.562297420810397161E+05,0.382963838800617805E+04
0.937460803157166289E+00,0.373690820934658463E+01,0.191870051918309059E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.856606580846306365E+00,0.842285854891432623E-01,0.550905790898908454E+05,0.553761012792411784E+05,0.559448880983359632E+05,0.562297341940538827E+05,0.382965513126947235E+04
0.134367424702694482E-01,0.352403534792375467E+03,0.111101326539487510E-01,0.284697260000000028E+03,0.556600816199999972E+05,0.687831142470073154E+00,0.352830429697214953E+00,0.550908959470386835E+05,0.553759674328023466E+05,0.559449274462897592E+05,0.562297490328945278E+05,0.382965912629698187E+04
0.784370331222995598E+00,0.157814069626410358E+01,0.177369789366027142E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.318096822480762154E+00,0.921311252848471707E+00,0.550906753735090751E+05,0.553759234527869412E+05,0.559449880955177796E+05,0.562296867534859120E+05,0.382980184041834718E+04
0.288764136220391765E+00,0.246067544591261722E+01,0.127006036824477198E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.523840945145155779E+00,0.251185299343772928E+00,0.550908539435889106E+05,0.553761054375571111E+05,0.559450515718321622E+05,0.562297303275231243E+05,0.382980485481007554E+04
0.154337672029625478E+00,0.181069195465087374E+01,0.113472911056722015E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.600126946262725780E+00,0.325330822312845103E+00,0.550906555949786416E+05,0.553759418872949464E+05,0.559450224067672680E+05,0.562297651686922400E+05,0.382981860796118917E+04
0.174536173508644532E-01,0.932543900423836476E+03,0.161697166824683852E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.692229082135225382E+00,0.149898132198897471E+00,0.550916666647812453E+05,0.553760138069352324E+05,0.559448798666981602E+05,0.562296589130478096E+05,0.382984375530443822E+04
0.358565216746683235E+00,0.252602085465153703E+01,0.133283564069231009E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.922816095805906511E+00,0.708048318065618187E+00,0.550907464990319568E+05,0.553759356435119407E+05,0.559449476975607613E+05,0.562298017291294964E+05,0.382986280181401571E+04
0.447941140409977512E+00,0.142122297255185259E+01,0.143349362097984456E+01,0.284697260000000028E+03,0.556600816199999972E+05,0.416926027142377809E+00,0.768459047658424210E+00,0.550903903970688407E+05,0.553760530459121001E+05,0.559450059582794056E+05,0.562297402184170496E+05,0.382988148282509837E+04
0.140427854299437285E-01,0.436764600967635943E+03,0.172642301316785707E+00,0.284697260000000028E+03,0.556600816199999972E+05,0.360834168377810904E+00,0.604720865726563472E+00,0.550916479873902208E+05,0.553760748331200448E+05,0.559447761410662788E+05,0.562297378781314110E+05,0.382992527125146762E+04
