seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_tau5,seg0_likelihood
0.452598472709906247E-01,0.501548681334274952E+05,0.411514051060606734E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.938620164409093127E+00,0.267445932956740656E-01,-0.196476534368415390E+01,0.550399287419243265E+05,0.553611391141873755E+05,0.556823552357495282E+05,0.560035661169117520E+05,0.563247788362594074E+05,0.197027879496356695E+04
0.446213893927842470E-01,0.644867021527053803E+05,0.178698143961824402E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.698892287745469187E+00,0.884958818071884257E-01,-0.184298335208628128E+01,0.550399279017822264E+05,0.553611404368353033E+05,0.556823547777719505E+05,0.560035664695012310E+05,0.563247835998462178E+05,0.197041987503946098E+04
0.434263056692483496E-01,0.614216899228084949E+05,0.178237747169456118E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.982109999822523227E+00,0.146702015505221717E+00,-0.170491480443210741E+01,0.550399276589598157E+05,0.553611422505208466E+05,0.556823536117983385E+05,0.560035699733304209E+05,0.563247783652490834E+05,0.197042240665670192E+04
0.557854924414783460E-01,0.112260699801503470E+05,0.847715143190542308E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.363937762672165321E+00,0.981568552601618682E+00,-0.140997049548490683E+01,0.550399302731859061E+05,0.553611414193992096E+05,0.556823580392990698E+05,0.560035698225769884E+05,0.563247820241717200E+05,0.197045373079089700E+04
0.519363440208813754E-01,0.134969811774306927E+05,0.834703972815486139E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.319588101431191152E+00,0.399966713219312431E+00,-0.156207229554357907E+01,0.550399293142905954E+05,0.553611452895321854E+05,0.556823571228379733E+05,0.560035682298319443E+05,0.563247781853508568E+05,0.197049770754594442E+04
0.498268785082951471E-01,0.221986583401373573E+05,0.734388504351578764E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.401280701600396916E+00,0.368899672434698067E+00,-0.158164237257720108E+01,0.550399271316000086E+05,0.553611399186714116E+05,0.556823564083071178E+05,0.560035674063140759E+05,0.563247788100437465E+05,0.197054198020047511E+04
0.466787540435982667E-01,0.438995011185689873E+05,0.498881629383151115E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.600732044445659530E+00,0.263623368790776746E+00,-0.174506932183414043E+01,0.550399293090639185E+05,0.553611438084197944E+05,0.556823545391256339E+05,0.560035687259160186E+05,0.563247806082417519E+05,0.197064640009214850E+04
0.461543257375337315E-01,0.751474750476350455E+05,0.280218953194073936E-02,0.321213900000000024E+03,0.556823565000000017E+05,0.122552671297470203E+00,0.583400794651626642E+00,-0.204169254713976223E+01,0.550399293476398670E+05,0.553611416952913132E+05,0.556823575015417082E+05,0.560035676793630118E+05,0.563247791145348529E+05,0.197071274215555263E+04
0.477001582023366885E-01,0.266375669682164335E+05,0.675132876061764975E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.915586218470002433E+00,0.555443607854161150E-01,-0.170814672123085254E+01,0.550399293006133448E+05,0.553611417532395790E+05,0.556823585946749663E+05,0.560035682999213095E+05,0.563247806605702572E+05,0.197086477481828183E+04
0.482046050317618269E-01,0.220431858921815910E+05,0.700128427429308364E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.828053411172800069E+00,0.180443075666477964E+00,-0.167030599961751047E+01,0.550399291552682989E+05,0.553611426913618125E+05,0.556823538862238274E+05,0.560035681572065369E+05,0.563247773539949922E+05,0.197088109407849902E+04
0.458665102093856886E-01,0.427096959124288624E+05,0.510310267804033879E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.620455107563096520E+00,0.212681294188408088E+00,-0.201148511489320692E+01,0.550399321367178127E+05,0.553611447896791578E+05,0.556823568316818710E+05,0.560035686575692889E+05,0.563247809024721500E+05,0.197089318493348242E+04
0.509330589003903558E-01,0.962543392546835821E+04,0.863415542642318790E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.270945831890681166E+00,0.619875096134671136E-01,-0.180172189744399880E+01,0.550399319020104449E+05,0.553611468891100012E+05,0.556823546557745067E+05,0.560035661584160698E+05,0.563247782048817389E+05,0.197090269424298845E+04
0.527567319332188922E-01,0.117102587564855530E+05,0.839662783483291042E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.387045521534292447E+00,0.542799058610864082E+00,-0.197473169968865059E+01,0.550399262422901156E+05,0.553611443881232844E+05,0.556823562592193484E+05,0.560035640575568614E+05,0.563247811423813691E+05,0.197092118437397789E+04
0.510147756496061588E-01,0.766187610813116771E+04,0.891782978138557669E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.105984154744558814E+00,0.524924875409373271E+00,-0.148908465053933670E+01,0.550399323171302385E+05,0.553611455311886166E+05,0.556823552965492927E+05,0.560035703833046500E+05,0.563247779146150933E+05,0.197093232615033708E+04
0.435125741424793461E-01,0.629928429462634085E+05,0.643756443898424544E-02,0.321213900000000024E+03,0.556823565000000017E+05,0.577148726701946502E+00,0.432752938564126832E+00,-0.189236693248286270E+01,0.550399321277757190E+05,0.553611420685405974E+05,0.556823553481596464E+05,0.560035665207906859E+05,0.563247801839817403E+05,0.197096510063565051E+04
0.462266948080377951E-01,0.373117244669922366E+05,0.601041904883941935E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.469282537714329095E+00,0.192477392237850459E+00,-0.195873485668403546E+01,0.550399281124545887E+05,0.553611440660599183E+05,0.556823553713068395E+05,0.560035677235402982E+05,0.563247803656914693E+05,0.197098485837368366E+04
0.453497117943464020E-01,0.462029139377711836E+05,0.479827206740103984E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.733373351657253369E+00,0.638378800619461284E-01,-0.174301893402208230E+01,0.550399299852116601E+05,0.553611447146521241E+05,0.556823525942763445E+05,0.560035674123621357E+05,0.563247800085467316E+05,0.197107470979267032E+04
0.469190376038811224E-01,0.364045016417423467E+05,0.603175905758436715E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.408072930236069775E+00,0.286953130729815542E+00,-0.179884142274016057E+01,0.550399286431097280E+05,0.553611432864109083E+05,0.556823571251382236E+05,0.560035658968516873E+05,0.563247836608097859E+05,0.197110009631995968E+04
0.516997557369141270E-01,0.889023420609986533E+04,0.880917589562694836E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.183267072281899090E+00,0.716827582993291856E+00,-0.184608652690176167E+01,0.550399310226005182E+05,0.553611451130330897E+05,0.556823574214998225E+05,0.560035647102176008E+05,0.563247806981537724E+05,0.197112505569775317E+04
0.541221631164374023E-01,0.773498575084063941E+04,0.868593897280704796E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.663776337537509975E+00,0.297611076451351098E+00,-0.153090795848267813E+01,0.550399274429317666E+05,0.553611446398983608E+05,0.556823538937356716E+05,0.560035668227021742E+05,0.563247794843474112E+05,0.197117642342596105E+04
0.444605635015991180E-01,0.576237584632291691E+05,0.288680409197254018E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.862339212987425885E+00,0.125165482114159315E+00,-0.195225733682866687E+01,0.550399292359044048E+05,0.553611399618038413E+05,0.556823579756456820E+05,0.560035671277940928E+05,0.563247773256463188E+05,0.197121452397887811E+04
0.530885168501166807E-01,0.700733590972167531E+04,0.887601008380112577E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.372305026317156007E+00,0.332353063052337860E+00,-0.182810354254505292E+01,0.550399266383874128E+05,0.553611441478036504E+05,0.556823582529261985E+05,0.560035709547831866E+05,0.563247810272370989E+05,0.197123223241917981E+04
0.453465801725966150E-01,0.472307171998997437E+05,0.461898391841852995E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.618970400099747131E+00,0.367900630766058029E-01,-0.202406325652542085E+01,0.550399269095064374E+05,0.553611415418045653E+05,0.556823546717975987E+05,0.560035658001502379E+05,0.563247833546768525E+05,0.197124534456863262E+04
0.531465191369291795E-01,0.109367059952499458E+05,0.854129501925895429E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.331789427432952200E+00,0.570266506717794108E+00,-0.147473833315286029E+01,0.550399325800616571E+05,0.553611432896223778E+05,0.556823550094450402E+05,0.560035652200487675E+05,0.563247787077678222E+05,0.197126267020186765E+04
0.517020453168287111E-01,0.150618125084425465E+05,0.807226705483896856E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.294056513354331750E+00,0.942006524473773865E+00,-0.195876717712493975E+01,0.550399269643832522E+05,0.553611444526173291E+05,0.556823587367964938E+05,0.560035678651727358E+05,0.563247791152641366E+05,0.197130269178241792E+04
0.470068541009484794E-01,0.319405574645809320E+05,0.629529692423769216E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.429942277655080973E+00,0.179410045524503819E+00,-0.208015934659583834E+01,0.550399287472873912E+05,0.553611403543357519E+05,0.556823568122537981E+05,0.560035681750719814E+05,0.563247834285320423E+05,0.197133475519563740E+04
0.543563477461572048E-01,0.899609965205909248E+04,0.862350532827749983E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.545206862955781579E+00,0.577429027952097385E+00,-0.203595412342099369E+01,0.550399285590661166E+05,0.553611417849413992E+05,0.556823565057055603E+05,0.560035652213563881E+05,0.563247768598916227E+05,0.197135598205705787E+04
0.527524847976266753E-01,0.795662172088162879E+04,0.885357773896646050E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.276664415829283694E+00,0.423401456311643387E+00,-0.180230613173164067E+01,0.550399318565371432E+05,0.553611448413804537E+05,0.556823524946563193E+05,0.560035677813493894E+05,0.563247793633407200E+05,0.197139604505225066E+04
0.502116979949518011E-01,0.150596003362509618E+05,0.813009859314285155E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.196968711223656168E+00,0.625835433346791259E+00,-0.190939999372374070E+01,0.550399315362336492E+05,0.553611421774216724E+05,0.556823568897309960E+05,0.560035645513795389E+05,0.563247795334792754E+05,0.197148728626973957E+04
0.523932745709363087E-01,0.786099033861918997E+04,0.891671062185751317E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.250018346785876588E+00,0.238174074450956674E+00,-0.154036002407544625E+01,0.550399290786246202E+05,0.553611433592595058E+05,0.556823584681341163E+05,0.560035692174142678E+05,0.563247799760888811E+05,0.197151052275229335E+04
0.515874128582205424E-01,0.718473516780077080E+04,0.885681506997781476E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.487446070182220470E+00,0.934548572044570196E-02,-0.199937626182219486E+01,0.550399262258531235E+05,0.553611424692415603E+05,0.556823549696553091E+05,0.560035661572824683E+05,0.563247782003484463E+05,0.197152676028709834E+04
0.445714807057275772E-01,0.665677076391764713E+05,0.561233831250986803E-01,0.321213900000000024E+03,0.556823565000000017E+05,0.707003787329613442E+00,0.166626650322380360E+00,-0.167937180525488650E+01,0.550399296850317332E+05,0.553611458831522614E+05,0.556823575654241504E+05,0.560035648252284518E+05,0.563247813235178401E+05,0.197156036865455530E+04
0.524750983470363558E-01,0.987805840551716210E+04,0.859046652461105342E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.370206544251797109E+00,0.444681440345382373E+00,-0.191203278667065901E+01,0.550399258268045232E+05,0.553611434323548601E+05,0.556823550477849203E+05,0.560035653283405263E+05,0.563247827779180734E+05,0.197157405162032296E+04
0.465587010602729126E-01,0.314612886309902424E+05,0.588614397077522833E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.736992020445569551E+00,0.226993990914707955E+00,-0.170267117612945773E+01,0.550399292240988361E+05,0.553611421038371336E+05,0.556823569664581955E+05,0.560035671142235296E+05,0.563247792813088963E+05,0.197158368447330690E+04
0.467372576316822663E-01,0.279236213985026261E+05,0.654749174350618524E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.814206891479244632E+00,0.808113522377004040E-01,-0.170006945699262468E+01,0.550399284511527076E+05,0.553611450629219980E+05,0.556823540610750715E+05,0.560035638470531267E+05,0.563247803326865396E+05,0.197159775143690536E+04
0.447730795956923500E-01,0.401326636772055936E+05,0.507965722342807680E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.737035731999124200E+00,0.190760503566990675E+00,-0.173227814072993014E+01,0.550399265390663713E+05,0.553611440546713493E+05,0.556823567181068647E+05,0.560035679619538205E+05,0.563247800551528271E+05,0.197161824394774862E+04
0.463732942789352107E-01,0.576267481839703905E+05,0.354318842009604673E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.167214841812386023E+00,0.351903081570500986E+00,-0.164688123916509532E+01,0.550399293800288506E+05,0.553611434287270167E+05,0.556823553852041150E+05,0.560035674030178052E+05,0.563247787601201271E+05,0.197164708632972383E+04
0.433782834004897908E-01,0.597911507894828319E+05,0.461744465637171503E-01,0.321213900000000024E+03,0.556823565000000017E+05,0.853888277460450262E+00,0.241179404455674318E+00,-0.175532678388707830E+01,0.550399278182904673E+05,0.553611410767111447E+05,0.556823553450019826E+05,0.560035688005850025E+05,0.563247827573460090E+05,0.197170384674769753E+04
0.525720451559258395E-01,0.742284306414608545E+04,0.896594758995221230E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.219529029554210636E+00,0.524729135272351321E+00,-0.220729609219930367E+01,0.550399294362516084E+05,0.553611431640684750E+05,0.556823543993968487E+05,0.560035693700019765E+05,0.563247764849384766E+05,0.197170430678850130E+04
0.437405430524148153E-01,0.666510755587290478E+05,0.751901159322665019E-01,0.321213900000000024E+03,0.556823565000000017E+05,0.401727817868741843E+00,0.464878958374089990E+00,-0.205795701262390951E+01,0.550399287840797260E+05,0.553611430513004234E+05,0.556823536031053445E+05,0.560035670469137403E+05,0.563247779576779139E+05,0.197175047349833426E+04
0.451626757213047791E-01,0.330673231434054178E+05,0.580030499117953569E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.976744529219369384E+00,0.133684727014099947E+00,-0.196538196111198804E+01,0.550399285831632151E+05,0.553611466735542344E+05,0.556823555852997524E+05,0.560035679680043613E+05,0.563247794049393488E+05,0.197176190583610264E+04
0.454974183581055708E-01,0.734284507293426286E+05,0.462147966834437485E-01,0.321213900000000024E+03,0.556823565000000017E+05,0.125468975455723858E+00,0.433361723462427129E+00,-0.179020706075975267E+01,0.550399294405332257E+05,0.553611435428237455E+05,0.556823559860399328E+05,0.560035667253653519E+05,0.563247794133390635E+05,0.197177214470684044E+04
0.514469821923461620E-01,0.678823260106887574E+04,0.893898916579470737E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.168049906821153894E+00,0.464609087387564845E+00,-0.190770274117780003E+01,0.550399274975556764E+05,0.553611444008036196E+05,0.556823591237779983E+05,0.560035699695291987E+05,0.563247766908569101E+05,0.197178725671240977E+04
0.506309747779764008E-01,0.115703541221229516E+05,0.841136763923051700E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.515389947490081601E+00,0.106974732510313988E+00,-0.199861913847378969E+01,0.550399294798612755E+05,0.553611422110184285E+05,0.556823572424047961E+05,0.560035660035756082E+05,0.563247763363253544E+05,0.197180417832564603E+04
0.453317122639298048E-01,0.574176740334782298E+05,0.349357767058583069E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.807669166975289232E+00,0.858065489386771324E-01,-0.167996314074435005E+01,0.550399272745198759E+05,0.553611429081369934E+05,0.556823548949680990E+05,0.560035690215519280E+05,0.563247807643681372E+05,0.197184692884982610E+04
0.484253935034372474E-01,0.263143529744744446E+05,0.681432962032793577E+00,0.321213900000000024E+03,0.556823565000000017E+05,0.464991476892673339E+00,0.579334905749996243E+00,-0.154065991798468804E+01,0.550399294952893324E+05,0.553611403638609772E+05,0.556823559496661546E+05,0.560035665808900158E+05,0.563247814494820850E+05,0.197184743598834962E+04
