seg0_p,seg0_rhostar,seg0_b,seg0_Pp,seg0_tau_ref,seg0_q1,seg0_q2,seg0_tau0,seg0_tau1,seg0_tau2,seg0_tau3,seg0_tau4,seg0_likelihood
0.397853374481201172E+00,0.199370455862853923E+05,0.174674212932586670E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.712503671646118164E+00,0.929706096649169922E-01,0.551945696992592275E+05,0.554870827227198388E+05,0.557785568942040627E+05,0.560683552884914025E+05,0.563609624620183968E+05,0.969953511335038638E+04
0.137620210647583008E+00,0.675800651903935279E+01,0.139842832088470459E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.653312385082244873E+00,0.465992689132690430E-01,0.551957540496305883E+05,0.554861597220265176E+05,0.557787827739924614E+05,0.560692651741363152E+05,0.563614835674270653E+05,0.969953511335038638E+04
0.232880115509033203E-01,0.179263601313828893E+02,0.149673712253570557E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.609993398189544678E+00,0.518651366233825684E+00,0.551945000641064107E+05,0.554868170518242623E+05,0.557776737922639077E+05,0.560695896339274987E+05,0.563601622237667107E+05,0.969953511335038638E+04
0.223678410053253174E+00,0.373499942886457575E+05,0.167653548717498779E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.143252789974212646E+00,0.379554629325866699E+00,0.551954682618097722E+05,0.554858714157902505E+05,0.557787688950509255E+05,0.560683325728036507E+05,0.563600888956293129E+05,0.969953511335038638E+04
0.184156537055969238E+00,0.974578569742837573E+02,0.162042522430419922E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.745231986045837402E+00,0.284964561462402344E+00,0.551960192717031896E+05,0.554858790931069161E+05,0.557772767645329659E+05,0.560695690377809151E+05,0.563597656037315392E+05,0.969953511335038638E+04
0.449913978576660156E+00,0.725253719005305029E+05,0.153183722496032715E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.802722036838531494E+00,0.298443853855133057E+00,0.551954941832737386E+05,0.554863445726000573E+05,0.557773085147351449E+05,0.560694993074990853E+05,0.563606835712894463E+05,0.969953511335038638E+04
0.380520820617675781E-01,0.622690932989192358E+01,0.148230063915252686E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.689140558242797852E+00,0.662471413612365723E+00,0.551943335417227208E+05,0.554856218594872262E+05,0.557786704687089150E+05,0.560686688016511544E+05,0.563604977715715431E+05,0.969953511335038638E+04
0.129848897457122803E+00,0.148741141917513432E+05,0.199618172645568848E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.928530693054199219E-01,0.223560690879821777E+00,0.551954027325825155E+05,0.554875183193051125E+05,0.557776314721316521E+05,0.560701764768220528E+05,0.563608172564014458E+05,0.969953511335038638E+04
0.639805793762207031E-01,0.133962623031678740E+01,0.124955499172210693E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.547986030578613281E-01,0.145033240318298340E+00,0.551957604577259481E+05,0.554860768316351678E+05,0.557773967064828103E+05,0.560697463041402443E+05,0.563595407275661491E+05,0.969953511335038638E+04
0.504267513751983643E+00,0.107263512141938611E+01,0.191825735569000244E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.579189598560333252E+00,0.859706878662109375E+00,0.551958874941782415E+05,0.554862864749991204E+05,0.557783257593125527E+05,0.560698444373466118E+05,0.563598813795551323E+05,0.969953511335038638E+04
0.273636639118194580E+00,0.421136408036402145E+03,0.164783084392547607E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.894850492477416992E-01,0.580690503120422363E+00,0.551955398343519628E+05,0.554872850423418786E+05,0.557776171871632760E+05,0.560690312063552483E+05,0.563606417313322090E+05,0.969953511335038638E+04
0.656544804573059082E+00,0.546755708897723366E+03,0.184473657608032227E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.487335264682769775E+00,0.472947716712951660E+00,0.551960504071430623E+05,0.554864336212240960E+05,0.557783025381774132E+05,0.560689391052581414E+05,0.563608999304279350E+05,0.969953511335038638E+04
0.566339790821075439E+00,0.534644976691084707E+03,0.179491817951202393E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.243224740028381348E+00,0.331514060497283936E+00,0.551962907969669759E+05,0.554869197506272103E+05,0.557772635424346154E+05,0.560700600468970879E+05,0.563613992570146584E+05,0.969953511335038638E+04
0.510582149028778076E+00,0.860375611593930927E+02,0.158508265018463135E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.719994485378265381E+00,0.456805348396301270E+00,0.551948810575918615E+05,0.554866956058108117E+05,0.557777473757476037E+05,0.560691684195853813E+05,0.563597992425664925E+05,0.969953511335038638E+04
0.224572777748107910E+00,0.220179204613616685E+04,0.130204617977142334E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.898890793323516846E+00,0.207724034786224365E+00,0.551955600037292897E+05,0.554875814548098351E+05,0.557776952369422143E+05,0.560700524393178566E+05,0.563603293003543877E+05,0.969953511335038638E+04
0.453873753547668457E+00,0.773767920874124115E+03,0.196483147144317627E+01,0.291305240000000026E+03,0.557779016699999993E+05,0.915352702140808105E-01,0.301536023616790771E+00,0.551956796608881414E+05,0.554855981934630181E+05,0.557777889075488274E+05,0.560696363588430031E+05,0.563612511919244789E+05,0.969953511335038638E+04
